raw_transaction,upi_id,amount,transaction_type,recipient_type,category,bank,recipient_name,merchant_info
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Swiggy - Wikipedia', 'snippet': 'Swiggy is an Indian online food ordering and delivery company. Founded in 2014, Swiggy is headquartered in Bangalore and operates in more than 580 Indian ...'}, {'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy started in August 2014 as an online food ordering and delivery startup. Today, it has over 5,000,000 mobile app installations and is a ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,"paytm, hdfc, icici, sbi, axis, okicici, okhdfc, oksbi, okaxis",paytm,"[{'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}, {'title': 'Paytm for Business', 'snippet': 'Business type. Select Business type. This field is mandatory *. Private Limited Company; Public Limited Company; Proprietorship; Partnership/LLP; Trust/Society ...'}]"
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy business model is based on the hyperlocal on-demand food delivery business operation, intending to deliver food within 30 minutes. Swiggy ...'}, {'title': 'Swiggy - Company Profile - Tracxn', 'snippet': 'Swiggy serves in the B2C space in the Transportation and Logistics Tech, Food and Agriculture Tech market segments. The primary business model of Swiggy are ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,paytm,paytm,"[{'title': 'Paytm - Wikipedia', 'snippet': 'Paytm is an Indian multinational financial technology company, that specializes in digital payments and financial services, based in Noida, India. Paytm was ...'}, {'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}]"
"Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi
",Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi,-851.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [00:47:14 02-12-2022] inr 851 debited to vendor.968@oksbi,Brother,
"Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis
",Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis,-669.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [16:45:02 02-12-2022] inr 669 debited to shop.869@okaxis,Brother,
"Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici
",Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici,-964.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [21:34:47 03-12-2022] inr 964 debited to shop.861@okicici,Brother,
"Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc
",Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc,-1064.0,debit,merchant,food/transport/entertainment/utilities/shopping/health/education/other,unknown,brother - [08:27:28 04-12-2022] inr 1064 debited to seller.113@okhdfc,Brother,
"Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm
",Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm,-16594.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [13:14:28 05-12-2022] inr 16594 debited to seller.210@paytm,Brother,
"Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi
",Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi,4385.0,credit,merchant,utilities,unknown,brother - [22:00:27 05-12-2022] inr 4385 credited from vendor.253@oksbi,Brother,
"Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi
",Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi,-543.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [01:07:19 09-12-2022] inr 543 debited to mart.518@oksbi,Brother,
"Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici
",Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici,-1193.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [12:52:59 17-12-2022] inr 1193 debited to shop.861@okicici,Brother,
"Brother - [07:30:57 18-12-2022] INR 3448 debited to mart.594@okicici
",Brother - [07:30:57 18-12-2022] INR 3448 debited to mart.594@okicici,-3448.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [07:30:57 18-12-2022] inr 3448 debited to mart.594@okicici,Brother,
"Brother - [10:25:04 19-12-2022] INR 22530 debited to seller.210@paytm
",Brother - [10:25:04 19-12-2022] INR 22530 debited to seller.210@paytm,-22530.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [10:25:04 19-12-2022] inr 22530 debited to seller.210@paytm,Brother,
"Brother - [06:33:48 21-12-2022] INR 782 debited to vendor.641@okaxis
",Brother - [06:33:48 21-12-2022] INR 782 debited to vendor.641@okaxis,-782.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [06:33:48 21-12-2022] inr 782 debited to vendor.641@okaxis,Brother,
"Brother - [06:19:27 25-12-2022] INR 943 credited from retail.961@okicici
",Brother - [06:19:27 25-12-2022] INR 943 credited from retail.961@okicici,943.0,credit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [06:19:27 25-12-2022] inr 943 credited from retail.961@okicici,Brother,
"Brother - [15:20:31 28-12-2022] INR 579 credited from vendor.641@okaxis
",Brother - [15:20:31 28-12-2022] INR 579 credited from vendor.641@okaxis,579.0,credit,individual,other,unknown,brother - [15:20:31 28-12-2022] inr 579 credited from vendor.641@okaxis,Brother,
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [00:32:47 02-12-2022] inr 836 debited to mart.156@okhdfc,Brother,
"Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi
",Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi,-851.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [00:47:14 02-12-2022] inr 851 debited to vendor.968@oksbi,Brother,
"Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis
",Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis,-669.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [16:45:02 02-12-2022] inr 669 debited to shop.869@okaxis,Brother,
"Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici
",Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici,-964.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [21:34:47 03-12-2022] inr 964 debited to shop.861@okicici,Brother,
"Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc
",Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc,-1064.0,debit,merchant,food/transport/entertainment/utilities/shopping/health/education/other,unknown,brother - [08:27:28 04-12-2022] inr 1064 debited to seller.113@okhdfc,Brother,
"Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm
",Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm,-16594.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [13:14:28 05-12-2022] inr 16594 debited to seller.210@paytm,Brother,
"Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi
",Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi,4385.0,credit,merchant,utilities,unknown,brother - [22:00:27 05-12-2022] inr 4385 credited from vendor.253@oksbi,Brother,
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [00:32:47 02-12-2022] inr 836 debited to mart.156@okhdfc,Brother,
"Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi
",Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi,-851.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [00:47:14 02-12-2022] inr 851 debited to vendor.968@oksbi,Brother,
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [00:32:47 02-12-2022] inr 836 debited to mart.156@okhdfc,Brother,
INR 500 debited to swiggy.75839@okicici,INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,unknown,inr 500 debited to swiggy.75839@okicici,INR,
INR 500 debited to swiggy.75839@okicici,INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,unknown,inr 500 debited to swiggy.75839@okicici,INR,
INR 500 debited to swiggy.75839@okicici,INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,unknown,inr 500 debited to swiggy.75839@okicici,INR,
INR 500 debited to swiggy.75839@okicici,INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,unknown,inr 500 debited to swiggy.75839@okicici,INR,
INR 500 debited to swiggy.75839@okicici,INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,okicici,swiggy,INR,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy started in August 2014 as an online food ordering and delivery startup. Today, it has over 5,000,000 mobile app installations and is a ...'}, {'title': 'Our Business - Swiggy', 'snippet': 'On our Food Delivery marketplace, users can conveniently search and discover multiple restaurant listings, browse their menus, place food orders, pay ...'}]"
INR 1000 credited from yash.gupta123@hdfc,INR 1000 credited from yash.gupta123@hdfc,1000.0,credit,individual,utilities,hdfc,yash.gupta123,INR,
INR 200 debited to 9876543210@paytm,INR 200 debited to 9876543210@paytm,-200.0,debit,merchant,utilities,paytm,9876543210,INR,"[{'title': 'ASCII lowercase a-z - ASCII table', 'snippet': ""ASCII lowercase characters are the letters 'a' through 'z', which are assigned numbers 97 through 122 in the ASCII character encoding standard.""}, {'title': 'What is ASCII (American Standard Code for Information Interchange)?', 'snippet': 'ASCII (American Standard Code for Information Interchange) is the most common character encoding format for text data in computers and on the internet.'}]"
INR 799 debited to netflix.sub12@okaxis,INR 799 debited to netflix.sub12@okaxis,-799.0,debit,merchant,entertainment,okaxis,netflix,INR,"[{'title': 'NFLX.O - | Stock Price & Latest News - Reuters', 'snippet': 'Netflix, Inc. is a provider of entertainment services. The Company acquires, licenses and produces content, including original programming.'}, {'title': 'nflx-20221231 - SEC.gov', 'snippet': ""Netflix, Inc. (“Netflix”, “the Company”, “registrant”, “we”, or “us”) is one of the world's leading entertainment services with approximately 231 million paid ...""}]"
"Shop Owner - [07:41:42 02-12-2022] INR 823 debited to mart.156@okhdfc
",Shop Owner - [07:41:42 02-12-2022] INR 823 debited to mart.156@okhdfc,-823.0,debit,merchant,shopping,okhdfc,mart,Shop,"[{'title': 'Data mart - Wikipedia', 'snippet': 'A data mart is basically a condensed and more focused version of a data warehouse that reflects the regulations and process specifications of each business unit ...'}, {'title': 'What is a Data Mart in Business Intelligence [Advantages for BI]', 'snippet': 'A data mart is a subset of a data warehouse, focused on a specific business line or department. It is designed to provide users with access to a segmented slice ...'}]"
"Shop Owner - [09:13:42 02-12-2022] INR 733 debited to vendor.249@okicici
",Shop Owner - [09:13:42 02-12-2022] INR 733 debited to vendor.249@okicici,-733.0,debit,merchant,business/structure,okicici,,Shop,"[{'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Review common business structures · Sole proprietorship · Partnership · Limited liability company (LLC) · Corporation · Cooperative.'}, {'title': 'Types of Businesses - Corporate Finance Institute', 'snippet': 'There are four main types of businesses to choose when forming a company: sole proprietorships, partnerships, limited liability companies, and corporations.'}]"
"Shop Owner - [17:15:42 02-12-2022] INR 771 debited to shop.869@okaxis
",Shop Owner - [17:15:42 02-12-2022] INR 771 debited to shop.869@okaxis,-771.0,debit,individual,shopping,okaxis,shop owner,Shop,
"Shop Owner - [01:45:12 03-12-2022] INR 840 debited to mart.518@oksbi
",Shop Owner - [01:45:12 03-12-2022] INR 840 debited to mart.518@oksbi,-840.0,debit,individual,shopping,oksb,,Shop,
"Shop Owner - [05:38:05 03-12-2022] INR 1041 debited to mart.815@okicici
",Shop Owner - [05:38:05 03-12-2022] INR 1041 debited to mart.815@okicici,-1041.0,debit,merchant,shopping,okicici,mart,Shop,"[{'title': 'Data mart - Wikipedia', 'snippet': 'A data mart is basically a condensed and more focused version of a data warehouse that reflects the regulations and process specifications of each business unit ...'}, {'title': 'What is a Data Mart in Business Intelligence [Advantages for BI]', 'snippet': 'A data mart is a subset of a data warehouse, focused on a specific business line or department. It is designed to provide users with access to a segmented slice ...'}]"
"Shop Owner - [19:01:22 04-12-2022] INR 16831 credited from seller.177@okaxis
",Shop Owner - [19:01:22 04-12-2022] INR 16831 credited from seller.177@okaxis,17700.0,credit,merchant,shopping,okaxis,okaxis,Shop,"[{'title': 'okaxis - Customer Insights Platform - LinkedIn', 'snippet': 'An easy to use business insights platform that works for you. Fully customize to suit the needs of your business / Industry without the need of costly data ...'}, {'title': 'okaxis.com: Home - Customer Insights Platform', 'snippet': 'With the cloud-based okaxis customer insights platform you can get the insights you need to run and grow your business in a simple and easy to use platform.'}]"
"Shop Owner - [20:00:49 05-12-2022] INR 773 debited to mart.518@oksbi
",Shop Owner - [20:00:49 05-12-2022] INR 773 debited to mart.518@oksbi,-773.0,debit,individual,shopping,oksbi,mart,Shop,
"Shop Owner - [22:33:18 06-12-2022] INR 541 debited to mart.296@okaxis
",Shop Owner - [22:33:18 06-12-2022] INR 541 debited to mart.296@okaxis,-541.0,debit,merchant,shopping,okaxis,mart,Shop,"[{'title': 'NAICS Code Description', 'snippet': 'This industry comprises establishments known as convenience stores or food marts (except those with fuel pumps) primarily engaged in retailing a limited line of ...'}, {'title': 'What Is a Data Mart? IBM', 'snippet': 'A data mart is a subset of a data warehouse focused on a particular line of business, department or subject area.'}]"
"Shop Owner - [18:07:23 11-12-2022] INR 751 credited from retail.961@okicici
",Shop Owner - [18:07:23 11-12-2022] INR 751 credited from retail.961@okicici,751.0,credit,merchant,shopping,okicici,retail,Shop,"[{'title': 'What is Retail Business: Types and Ideas | SendPulse', 'snippet': 'A retail business is the sale of items and services in small quantities to customers in-store or online. Grocery, clothing, and drug stores ...'}, {'title': 'Types of retail business | nibusinessinfo.co.uk', 'snippet': 'The various types of retail business, including convenience store, speciality store, supermarket, discount store, department store, warehouse, ...'}]"
"Shop Owner - [00:23:25 12-12-2022] INR 11058 debited to market.262@paytm
",Shop Owner - [00:23:25 12-12-2022] INR 11058 debited to market.262@paytm,-11058.0,debit,merchant,shopping,paytm,market,Shop,
"Shop Owner - [06:07:33 12-12-2022] INR 287 credited from retail.961@okicici
",Shop Owner - [06:07:33 12-12-2022] INR 287 credited from retail.961@okicici,287.0,credit,individual,shopping,okicici,,Shop,
"Shop Owner - [11:43:39 13-12-2022] INR 697 debited to market.128@oksbi
",Shop Owner - [11:43:39 13-12-2022] INR 697 debited to market.128@oksbi,-697.0,debit,merchant,business/education,okaxis,,Shop,"[{'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Review common business structures · Sole proprietorship · Partnership · Limited liability company (LLC) · Corporation · Cooperative.'}, {'title': 'Types of Businesses - Corporate Finance Institute', 'snippet': 'There are four main types of businesses to choose when forming a company: sole proprietorships, partnerships, limited liability companies, and corporations.'}]"
"Shop Owner - [13:08:58 13-12-2022] INR 401 debited to market.909@okhdfc
",Shop Owner - [13:08:58 13-12-2022] INR 401 debited to market.909@okhdfc,-401.0,debit,merchant,shopping,okhdfc,market,Shop,"[{'title': 'Business Markets: Definition, Types and Examples | Indeed.com', 'snippet': 'Five types of business markets · Business-to-consumer market · Business-to-business market · Industrial market · Services market · Professional ...'}, {'title': 'Market: What It Means in Economics, Types, and Common Features', 'snippet': 'These include retail stores and similar businesses that sell individual items to wholesale markets selling goods to distributors. Or they may be virtual.'}]"
"Shop Owner - [06:46:37 14-12-2022] INR 1344 debited to mart.927@okaxis
",Shop Owner - [06:46:37 14-12-2022] INR 1344 debited to mart.927@okaxis,-1344.0,debit,merchant,business,okaxis,,Shop,"[{'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Review common business structures · Sole proprietorship · Partnership · Limited liability company (LLC) · Corporation · Cooperative.'}, {'title': 'Types of Businesses - Corporate Finance Institute', 'snippet': 'There are four main types of businesses to choose when forming a company: sole proprietorships, partnerships, limited liability companies, and corporations.'}]"
"Shop Owner - [12:19:22 18-12-2022] INR 7173 debited to mart.404@oksbi
",Shop Owner - [12:19:22 18-12-2022] INR 7173 debited to mart.404@oksbi,-7173.0,debit,merchant,shopping,oksbi,mart,Shop,"[{'title': 'NAICS Code Description', 'snippet': 'Retailing automotive fuels in combination with a convenience store or food mart--are classified in Industry 447110, Gasoline Stations with Convenience Stores.'}, {'title': 'What Is a Data Mart? IBM', 'snippet': 'A data mart is a subset of a data warehouse focused on a particular line of business, department or subject area.'}]"
"Shop Owner - [11:57:18 25-12-2022] INR 1483 debited to mart.927@okaxis
",Shop Owner - [11:57:18 25-12-2022] INR 1483 debited to mart.927@okaxis,-1483.0,debit,individual,food/transport/entertainment/utilities/shopping,okaxis,mart,Shop,
"Shop Owner - [21:31:22 27-12-2022] INR 272 debited to store.522@okaxis
",Shop Owner - [21:31:22 27-12-2022] INR 272 debited to store.522@okaxis,-272.0,debit,individual,shopping,okaxis,shop owner,Shop,
"Shop Owner - [12:31:13 29-12-2022] INR 14947 credited from seller.177@okaxis
",Shop Owner - [12:31:13 29-12-2022] INR 14947 credited from seller.177@okaxis,14947.0,credit,merchant,utilities,okaxis,okaxis,Shop,"[{'title': 'okaxis - Customer Insights Platform - LinkedIn', 'snippet': 'An easy to use business insights platform that works for you. Fully customize to suit the needs of your business / Industry without the need of costly data ...'}, {'title': 'okaxis.com: Home - Customer Insights Platform', 'snippet': 'With the cloud-based okaxis customer insights platform you can get the insights you need to run and grow your business in a simple and easy to use platform.'}]"
"Shop Owner - [01:32:49 01-01-2023] INR 1225 debited to vendor.249@okicici
",Shop Owner - [01:32:49 01-01-2023] INR 1225 debited to vendor.249@okicici,-1225.0,debit,merchant,shopping,okicici,vendor,Shop,
"Shop Owner - [10:59:49 01-01-2023] INR 960 debited to shop.869@okaxis
",Shop Owner - [10:59:49 01-01-2023] INR 960 debited to shop.869@okaxis,-960.0,debit,individual,shopping,okaxis,shop owner,Shop,
"Shop Owner - [13:47:38 01-01-2023] INR 909 debited to mart.156@okhdfc
",Shop Owner - [13:47:38 01-01-2023] INR 909 debited to mart.156@okhdfc,-909.0,debit,merchant,shopping,okhdfc,mart,Shop,"[{'title': 'What is a Data Mart in Business Intelligence [Advantages for BI]', 'snippet': 'A data mart is a subset of a data warehouse, focused on a specific business line or department. It is designed to provide users with access to a segmented slice ...'}, {'title': 'What Is a Data Mart? IBM', 'snippet': 'A data mart is a subset of a data warehouse focused on a particular line of business, department or subject area.'}]"
"Shop Owner - [03:24:17 02-01-2023] INR 860 debited to store.522@okaxis
",Shop Owner - [03:24:17 02-01-2023] INR 860 debited to store.522@okaxis,-860.0,debit,merchant,shopping,okaxis,store,Shop,"[{'title': '10 Different Types of Stores | Indeed.com', 'snippet': 'Single-location retailers · Chain stores · Franchises · Department stores · Grocery stores, supermarkets and hypermarkets · Discount retailers.'}, {'title': 'What is a Retail Store? Different Types of Retail Businesses You ...', 'snippet': 'Some of the types of retail businesses are pizza parlors, burger and steakhouses, and pastries. Artwork and Design - Did you know that arts and ...'}]"
"Shop Owner - [18:16:59 02-01-2023] INR 978 debited to seller.113@okhdfc
",Shop Owner - [18:16:59 02-01-2023] INR 978 debited to seller.113@okhdfc,-978.0,debit,merchant,shopping,okhdfc,hdfc,Shop,"[{'title': 'UPI - Instant Mobile Money Transfer with Unified Payment Interface', 'snippet': ""Know all about Unified Payments Interface (UPI). HDFC Bank's UPI payment service allows hassle-free instant funds transfers. Know features & Benefits of ...""}, {'title': 'List of UPI 3rd Party Apps - NPCI', 'snippet': 'A list of NPCI-approved 3rd party Unified Payments Interface (UPI) apps that can be used to send and receive money from other UPI users by using UPI IDs.'}]"
"Shop Owner - [19:35:17 04-01-2023] INR 539 credited from mart.296@okaxis
",Shop Owner - [19:35:17 04-01-2023] INR 539 credited from mart.296@okaxis,539.0,credit,merchant,shopping,okaxis,mart,Shop,"[{'title': 'Data mart - Wikipedia', 'snippet': 'A data mart is basically a condensed and more focused version of a data warehouse that reflects the regulations and process specifications of each business unit ...'}, {'title': 'What is a Data Mart in Business Intelligence [Advantages for BI]', 'snippet': 'A data mart is a subset of a data warehouse, focused on a specific business line or department. It is designed to provide users with access to a segmented slice ...'}]"
"Shop Owner - [02:32:07 05-01-2023] INR 870 debited to seller.113@okhdfc
",Shop Owner - [02:32:07 05-01-2023] INR 870 debited to seller.113@okhdfc,-870.0,credit,merchant,shopping,okhdfc,amazon,Shop,"[{'title': 'Choosing an Amazon Seller Business Type: LLC vs. Sole ... - Bizee', 'snippet': 'Most of the time, we recommend an LLC for Amazon third-party sellers, but you can also choose to operate as a sole proprietor or register as an S Corp or C ...'}, {'title': 'Best Amazon Seller Business Type: 4 Options for Your Venture - doola', 'snippet': 'You can be a sole proprietor or sole trader, but you may also choose a partnership, limited liability company (LLC), or a corporation. Each ...'}]"
"Shop Owner - [05:09:15 05-01-2023] INR 436 debited to mart.296@okaxis
",Shop Owner - [05:09:15 05-01-2023] INR 436 debited to mart.296@okaxis,-436.0,debit,individual,shopping,okaxis,mart,Shop,
"Shop Owner - [13:24:27 09-01-2023] INR 14889 debited to market.262@paytm
",Shop Owner - [13:24:27 09-01-2023] INR 14889 debited to market.262@paytm,-14889.0,debit,merchant,utilities,paytm,market,Shop,"[{'title': 'Business Markets: Definition, Types and Examples | Indeed.com', 'snippet': 'Five types of business markets · Business-to-consumer market · Business-to-business market · Industrial market · Services market · Professional ...'}, {'title': 'Market: What It Means in Economics, Types, and Common Features', 'snippet': 'These include retail stores and similar businesses that sell individual items to wholesale markets selling goods to distributors. Or they may be virtual.'}]"
"Shop Owner - [00:25:05 15-01-2023] INR 907 debited to mart.100@okaxis
",Shop Owner - [00:25:05 15-01-2023] INR 907 debited to mart.100@okaxis,-907.0,debit,merchant,shopping,okaxis,mart,Shop,"[{'title': 'NAICS Code Description', 'snippet': 'This industry comprises establishments known as convenience stores or food marts (except those with fuel pumps) primarily engaged in retailing a limited line ...'}, {'title': 'What Is a Data Mart? IBM', 'snippet': 'A data mart is a subset of a data warehouse focused on a particular line of business, department or subject area.'}]"
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,individual,entertainment,unknown,brother - [00:32:47 02-12-2022] inr 836 debited to mart.156@okhdfc,Brother,
"Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi
",Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi,-851.0,debit,individual,shopping,unknown,brother - [00:47:14 02-12-2022] inr 851 debited to vendor.968@oksbi,Brother,
"Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis
",Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis,-669.0,debit,merchant,shopping,unknown,brother - [16:45:02 02-12-2022] inr 669 debited to shop.869@okaxis,Brother,
"Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici
",Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici,-964.0,debit,merchant,shopping,unknown,brother - [21:34:47 03-12-2022] inr 964 debited to shop.861@okicici,Brother,
"Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc
",Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc,-1064.0,debit,individual,shopping,unknown,brother - [08:27:28 04-12-2022] inr 1064 debited to seller.113@okhdfc,Brother,
"Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm
",Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm,-16594.0,debit,individual,shopping,unknown,brother - [13:14:28 05-12-2022] inr 16594 debited to seller.210@paytm,Brother,
"Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi
",Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi,4385.0,credit,merchant,shopping,unknown,brother - [22:00:27 05-12-2022] inr 4385 credited from vendor.253@oksbi,Brother,
"Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi
",Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi,-543.0,debit,individual,other,unknown,brother - [01:07:19 09-12-2022] inr 543 debited to mart.518@oksbi,Brother,
"Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici
",Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici,-1193.0,debit,merchant,shopping,unknown,brother - [12:52:59 17-12-2022] inr 1193 debited to shop.861@okicici,Brother,
"Brother - [07:30:57 18-12-2022] INR 3448 debited to mart.594@okicici
",Brother - [07:30:57 18-12-2022] INR 3448 debited to mart.594@okicici,-3448.0,debit,individual,shopping,unknown,brother - [07:30:57 18-12-2022] inr 3448 debited to mart.594@okicici,Brother,
"Brother - [10:25:04 19-12-2022] INR 22530 debited to seller.210@paytm
",Brother - [10:25:04 19-12-2022] INR 22530 debited to seller.210@paytm,-22530.0,debit,merchant,shopping,unknown,brother - [10:25:04 19-12-2022] inr 22530 debited to seller.210@paytm,Brother,
"Brother - [06:33:48 21-12-2022] INR 782 debited to vendor.641@okaxis
",Brother - [06:33:48 21-12-2022] INR 782 debited to vendor.641@okaxis,-782.0,debit,individual,shopping,unknown,brother - [06:33:48 21-12-2022] inr 782 debited to vendor.641@okaxis,Brother,
"Brother - [06:19:27 25-12-2022] INR 943 credited from retail.961@okicici
",Brother - [06:19:27 25-12-2022] INR 943 credited from retail.961@okicici,943.0,credit,individual,shopping,unknown,brother - [06:19:27 25-12-2022] inr 943 credited from retail.961@okicici,Brother,
"Brother - [15:20:31 28-12-2022] INR 579 credited from vendor.641@okaxis
",Brother - [15:20:31 28-12-2022] INR 579 credited from vendor.641@okaxis,579.0,credit,individual,shopping,unknown,brother - [15:20:31 28-12-2022] inr 579 credited from vendor.641@okaxis,Brother,
"Brother - [08:46:46 29-12-2022] INR 796 debited to market.157@oksbi
",Brother - [08:46:46 29-12-2022] INR 796 debited to market.157@oksbi,-796.0,debit,merchant,shopping,unknown,brother - [08:46:46 29-12-2022] inr 796 debited to market.157@oksbi,Brother,
"Brother - [12:03:15 29-12-2022] INR 331 credited from retail.239@paytm
",Brother - [12:03:15 29-12-2022] INR 331 credited from retail.239@paytm,331.0,credit,merchant,shopping,unknown,brother - [12:03:15 29-12-2022] inr 331 credited from retail.239@paytm,Brother,
